what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1698797557992
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1698797557992
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1698797557992
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1698797557992
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1698797557992
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1698797558007
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1698797558007
os,sysinfo,,,"win32",1698797558007
arch,sysinfo,,,"x86",1698797558007
ws,sysinfo,,,"win32",1698797558007
locale,sysinfo,,,"ko_KR",1698797558007
processors,sysinfo,,,"8",1698797558007
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1698797558007
java.runtime.version,sysinfo,,,"1.7.0_07-b10",1698797558007
java.specification.name,sysinfo,,,"Java Platform API Specification",1698797558007
java.specification.vendor,sysinfo,,,"Oracle Corporation",1698797558007
java.specification.version,sysinfo,,,"1.7",1698797558007
java.vendor,sysinfo,,,"Oracle Corporation",1698797558007
java.version,sysinfo,,,"1.7.0_07",1698797558007
java.vm.info,sysinfo,,,"mixed mode",1698797558007
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1698797558007
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1698797558007
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1698797558007
java.vm.specification.version,sysinfo,,,"1.7",1698797558007
java.vm.vendor,sysinfo,,,"Oracle Corporation",1698797558007
java.vm.version,sysinfo,,,"23.3-b01",1698797558007
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201108301805,"org.eclipse.linuxtools.cdt.autotools.core",1698797559363
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1698797559454
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1698797559486
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201109151620,"org.eclipse.cdt.msw.build",1698797559592
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1698797577273
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1698797577273
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1698797598822
